property_title, society_name, carpet_area, status, floor_info,transaction_type, furnishing_type, facing, ownership_type, car_parking, bathroom_count, balcony_count, price_amount, price_per_sqft 
2 BHK Apartment for Sale in Sector 42 Noida, Dhanya Niketan, 750 sqft, Ready to Move, 2 out of 3,Resale, Semi-Furnished, None, Freehold, None, 2, 2, ₹45 Lac, ₹6 000 per sqft
3 BHK Apartment for Sale in Sector 137  Noida Express Way Noida, Paras Tierea Relax Home, 1660 sqft, Ready to Move, 24 out of 30,Resale, Semi-Furnished, East, None, 1 Covered , 3, 3, ₹1.10 Cr, ₹6 627 per sqft
2 BHK Apartment for Sale in Noida Extension Noida, Mahagun Mywoods Maverick, 727 sqft, Ready to Move, 17 out of 18,Resale, Unfurnished, None, None, None, 2, 3, ₹75 Lac, ₹6 667 per sqft
1 BHK Builder Floor for Sale in FM Tower Sec 73 Noida Noida, None, 400 sqft, Ready to Move, 5 out of 5,Resale, Unfurnished, North - East, Freehold, None, 1, 1, ₹14.5 Lac, ₹2 636 per sqft
3 BHK Apartment for Sale in Noida Extension Noida, Gaur City 2 12th Avenue, 1320 sqft, Ready to Move, 23 out of 26,Resale, Semi-Furnished, East, Freehold, 1 Covered, 3, 4, ₹80 Lac, ₹6 061 per sqft
3 BHK Apartment for Sale in Sector 29 Noida, Mahavira Apartments, 1400 sqft, Ready to Move, 1 out of 2,Resale, Semi-Furnished, North - East, Leasehold, None, 2, 2, ₹1.67 Cr, ₹9 278 per sqft
2 BHK Apartment for Sale in Sector 78 Noida, Mahagun Moderne, 1290 sqft, Ready to Move, 1 out of 28,Resale, Semi-Furnished, None, None, None, 2, 4, ₹1.40 Cr, ₹10 853 per sqft
1 BHK Apartment for Sale in Sector 137  Noida Express Way Noida, Paras Tierea, 450 sqft, None, 24 out of 27,New Property, Unfurnished, None, Freehold, 1 Covered, 1, 1, ₹30 Lac, ₹6 667 per sqft
3 BHK Apartment for Sale in Sector 137  Noida Express Way Noida, Paras Tierea, 1900 sqft, Ready to Move, 2 out of 4,Resale, Semi-Furnished, East, Leasehold, None, 3, 4, ₹95 Lac, ₹5 000 per sqft
2 BHK Apartment for Sale in Sector 150  Pusta Road Noida, Godrej Nest, 1262 sqft, Poss. by Jun '24, 5 out of 17,Resale, Semi-Furnished, North, None, None, 2, 4, ₹1.25 Cr, ₹9 905 per sqft
