property_title, society_name, carpet_area, status, floor_info,transaction_type, furnishing_type, facing, ownership_type, car_parking, bathroom_count, balcony_count, price_amount, price_per_sqft 
2 BHK Apartment for Sale in Tambaram Sanatorium Chennai, None, 450 sqft, Ready to Move, 1 out of 3,Resale, Unfurnished, None, Freehold, 2 Open, 2, None, ₹35 Lac, ₹6 034 per sqft
3 BHK  House for Sale in Rayala Nagar Chennai, None, 2000 sqft, Ready to Move, 1 out of 1,Resale, Semi-Furnished, North - West, Freehold, 2 Covered, 3, 2, ₹3.39 Cr, ₹15 409 per sqft
2 BHK Builder Floor for Sale in Nelson Manickam Road Chennai, None, 1000 sqft, Ready to Move, 1 out of 2,Resale, Semi-Furnished, East, None, None, 2, None, ₹70 Lac, ₹7 000 per sqft
2 BHK  House for Sale in Avadi Chennai, None, 950 sqft, Ready to Move, None,New Property, Unfurnished, East, Freehold, None, 1, None, ₹45 Lac, ₹4 737 per sqft
2 BHK Apartment for Sale in Mogappair Chennai, Casagrand Crescendo, 625 sqft, Ready to Move, 10 out of 13,Resale, Unfurnished, None, None, None, 1, 1, ₹51 Lac, ₹8 160 per sqft
3 BHK Apartment for Sale in T Nagar Chennai, None, 1200 sqft, Ready to Move, Ground out of 6,Resale, Furnished, South, Freehold, 3 Covered , 3, 2, ₹2.50 Cr, ₹16 846 per sqft
3 BHK Villa for Sale in East Tambaram Chennai, None, 2150 sqft, Ready to Move, None,Resale, Semi-Furnished, North, Freehold, 2 Covered, 3, 2, ₹1.20 Cr, ₹5 581 per sqft
2 BHK Apartment for Sale in Mogappair West Ambattur Industrial Estate Chennai, None, 950 sqft, Ready to Move, 2 out of 4,Resale, Semi-Furnished, West, Freehold, None, 2, 2, ₹63 Lac, ₹5 972 per sqft
3 BHK Apartment for Sale in Old Mahabalipuram Road Chennai Chennai, None, 1685 sqft, Ready to Move, 18 out of 18,Resale, Unfurnished, North, Freehold, None, 3, 2, ₹1.20 Cr, ₹7 122 per sqft
3 BHK Apartment for Sale in Kovilambakkam Chennai, Redbrick Lakshmi, 1050 sqft, Ready to Move, 3 out of 3,Resale, Unfurnished, East, Freehold, 1 Covered, 3, 3, ₹82 Lac, ₹5 775 per sqft
3 BHK Apartment for Sale in Thiruvanmiyur Chennai, None, 1300 sqft, Ready to Move, Ground out of 4,Resale, Semi-Furnished, South - East, Freehold, None, 3, 2, ₹1.55 Cr, None
3 BHK Apartment for Sale in Iyyappanthangal Chennai, Prestige Bella Vista, 1600 sqft, Ready to Move, 15 out of 16,Resale, Semi-Furnished, North, Freehold, 1 Covered, 3, 2, ₹1.80 Cr, ₹9 863 per sqft
3 BHK Apartment for Sale in Thazhambur Chennai, Adroit Urban District S, 1219 sqft, Ready to Move, 3 out of 9,Resale, Unfurnished, West, Freehold, 1 Covered, 3, 1, ₹69 Lac, ₹4 863 per sqft
3 BHK Apartment for Sale in Navalur Chennai, Ramaniyam Rhythm, 1240 sqft, Ready to Move, 3 out of 4,Resale, Unfurnished, South, Freehold, 1 Covered, 2, 1, ₹60 Lac, ₹4 839 per sqft
3 BHK Apartment for Sale in Saidapet Chennai, Amber, 1068 sqft, Ready to Move, 7 out of 7,Resale, Semi-Furnished, None, Freehold, 1 Covered, 3, 1, ₹1.47 Cr, None
3 BHK Apartment for Sale in CIT Colony Chennai, None, 1650 sqft, Ready to Move, 4 out of 4,Resale, Semi-Furnished, East, Freehold, 2 Covered, 3, 3, ₹2.70 Cr, ₹15 607 per sqft
4 BHK  House for Sale in Besant Nagar Chennai, None, 1200 sqft, Ready to Move, None,Resale, Unfurnished, East, Freehold, None, 4, 3, ₹6 Cr, ₹16 667 per sqft
4 BHK Apartment for Sale in Mahalingapuram Chennai, Gatala Sukriti, 2325 sqft, Ready to Move, 2 out of 3,Resale, Semi-Furnished, West, Freehold, 2 Covered, 3, 4, ₹4.50 Cr, ₹16 917 per sqft
2 BHK Apartment for Sale in Nelson Manickam Road Chennai, RWD Atlantis, 1344 sqft, Ready to Move, 10 out of 12,Resale, Semi-Furnished, North - East, Freehold, None, 3, 1, ₹1.54 Cr, ₹11 496 per sqft
3 BHK Apartment for Sale in Nungambakkam Chennai, Vijay Shanthi Courtyard, 2589 sqft, Ready to Move, 3 out of 4,Resale, Semi-Furnished, East, Freehold, 1 Covered , 3, 3, ₹4.40 Cr, ₹17 000 per sqft
3 BHK Apartment for Sale in Porur Chennai, TVS Emerald Green Enclave, 1027 sqft, Ready to Move, 4 out of 4,New Property, Unfurnished, North - West, Freehold, 1 Covered, 3, 1, ₹1.07 Cr, ₹6 948 per sqft
3 BHK Apartment for Sale in MRC Nagar Chennai, Chettinad Rani Meyyammai Towers, 1650 sqft, Ready to Move, 7 out of 9,Resale, Furnished, East, Freehold, None, 4, 1, ₹3.35 Cr, ₹18 108 per sqft
3 BHK Apartment for Sale in Medavakkam Chennai, Bhaggyam Suraksha, 1346 sqft, Ready to Move, 1 out of 4,Resale, Semi-Furnished, East, Freehold, 1 Covered, 2, 1, ₹1 Cr, ₹7 429 per sqft
2 BHK Apartment for Sale in Venkatasamy Nagar Chennai, None, 4000 sqft, Ready to Move, 3 out of 4,New Property, Semi-Furnished, North - East, Freehold, 1 Covered, 2, 2, ₹1.33 Cr, ₹11 565 per sqft
3 BHK Apartment for Sale in Anna Nagar Chennai, The Metrozone, 1800 sqft, Ready to Move, 11 out of 16,Resale, Semi-Furnished, South, Freehold, 1 Covered, 3, 2, ₹1.95 Cr, ₹9 457 per sqft
1 BHK Builder Floor for Sale in Velachery Chennai, Estancia, 638 sqft, Ready to Move, 1 out of 2,Resale, Semi-Furnished, North, Co-operative Society, None, 1, 1, ₹44 Lac, ₹4 000 per sqft
2 BHK Builder Floor for Sale in Nanganallur Chennai, Dwaraka Apartments, 600 sqft, Ready to Move, 3 out of 4,Resale, Unfurnished, West, Freehold, None, 2, 2, ₹60 Lac, ₹8 086 per sqft
3 BHK Apartment for Sale in Kalakshetra Colony Chennai, None, 1470 sqft, Ready to Move, 2 out of 3,Resale, Semi-Furnished, North, Freehold, None, 3, 2, ₹2.10 Cr, ₹14 286 per sqft
2 BHK Apartment for Sale in Shenoy Nagar Chennai, None, 960 sqft, Ready to Move, 3 out of 3,Resale, Unfurnished, East, Freehold, 1 Covered, 2, 1, ₹1.15 Cr, ₹11 979 per sqft
4 BHK Villa for Sale in Muthukadu Chennai, Chaitanya Koi Pond Villas, 3400 sqft, Ready to Move, None,Resale, Unfurnished, South, Freehold, 2 Covered , 5, 4, ₹3 Cr, ₹8 824 per sqft
2 BHK Apartment for Sale in Thiruporur Chennai, CeeDeeYes Chennai Pattinam, 980 sqft, Ready to Move, 1 out of 4,Resale, Semi-Furnished, None, None, None, 2, 2, ₹30 Lac, ₹2 791 per sqft
3 BHK Villa for Sale in Karapakkam Chennai, Navins Palm Fronds, 2450 sqft, Ready to Move, None,Resale, Semi-Furnished, West, Freehold, 1 Covered, 3, 2, ₹1.98 Cr, ₹8 082 per sqft
2 BHK Apartment for Sale in Pozhichalur Chennai, None, 713 sqft, Ready to Move, Ground out of 1,Resale, Unfurnished, North, Freehold, None, 2, None, ₹38.5 Lac, ₹5 400 per sqft
2 BHK Apartment for Sale in Perungalathur Chennai, None, 1200 sqft, Ready to Move, 1 out of 2,Resale, Furnished, East, Freehold, None, 2, 1, ₹60 Lac, ₹5 000 per sqft
