property_title, society_name, carpet_area, status, floor_info,transaction_type, furnishing_type, facing, ownership_type, car_parking, bathroom_count, balcony_count, price_amount, price_per_sqft 
4 BHK Villa for Sale in Sarjapura Bangalore, Divine Meadows, 3901 sqft, Poss. by Dec '25, None,New Property, Unfurnished, West, Freehold, 2 Covered, 4, 3, ₹3.37 Cr, ₹8 645 per sqft
2 BHK Apartment for Sale in Thanisandra Main Road Bangalore, Vajram Newtown, 835 sqft, Ready to Move, 11 out of 14,Resale, Unfurnished, West, Freehold, None, 2, 1, ₹1.20 Cr, ₹10 187 per sqft
3 BHK Apartment for Sale in Hebbal Bangalore, Brigade Laguna, 1888 sqft, Poss. by Dec '25, 5 out of 14,New Property, Unfurnished, East, Freehold, 1 Covered, 3, 1, ₹1.95 Cr, ₹10 376 per sqft
3 BHK Apartment for Sale in Whitefield Main Road Bangalore, Orchid Platinum, 1231 sqft, Poss. by Dec '28, 10 out of 13,New Property, Unfurnished, North - East, Freehold, 1 Covered, 3, 3, ₹2.19 Cr, ₹11 967 per sqft
4 BHK Apartment for Sale in Jakkuru Layout  Jakkuru Bangalore, Assetz Soho & Sky, 1966 sqft, Poss. by Dec '26, 10 out of 13,New Property, Unfurnished, East, Freehold, 2 Covered, 5, 2, ₹2.80 Cr, ₹10 004 per sqft
3 BHK Villa for Sale in Devanahalli Bangalore, Provident Deansgate, 1899 sqft, Poss. by Jun '26, None,New Property, Unfurnished, East, Co-operative Society, 2 Covered, 3, 2, ₹1.90 Cr, ₹8 712 per sqft
3 BHK Apartment for Sale in Whitefield Bangalore, Folium By Sumadhura Phase 2, 1130 sqft, Poss. by Dec '25, 4 out of 19,New Property, Unfurnished, North - East, Freehold, 1 Covered, 3, 2, ₹2.03 Cr, ₹12 570 per sqft
2 BHK Apartment for Sale in Sarjapur Road Bangalore, JRC Wild Woods, 1100 sqft, Poss. by Aug '25, 3 out of 4,New Property, Unfurnished, East, Freehold, 1 Covered, 2, 2, ₹1.36 Cr, ₹9 510 per sqft
3 BHK Apartment for Sale in Panathur Bangalore, Sobha Neopolis, 1611 sqft, Poss. by Dec '28, None,New Property, Unfurnished, None, None, 1 Covered, 3, None, ₹2.09 Cr, ₹13 000 per sqft
3 BHK Apartment for Sale in Bannerughatta Bangalore, Jains Aashraya, 1487 sqft, Ready to Move, None,New Property, Unfurnished, None, None, 1 Covered, 3, None, ₹1.12 Cr, ₹7 532 per sqft
2 BHK Apartment for Sale in Ambalipura Haralur Bangalore, Prestige Pegasus, 1205 sqft, Poss. by Feb '26, 3 out of 4,Resale, Unfurnished, East, Freehold, 1 Covered , 2, 1, ₹1.08 Cr, ₹8 963 per sqft
