property_title, society_name, carpet_area, status, floor_info,transaction_type, furnishing_type, facing, ownership_type, car_parking, bathroom_count, balcony_count, price_amount, price_per_sqft 
2 BHK Apartment for Sale in Chordia Avalon City Phase I  Dapodi  Pimpri Chinchwad Pune, Chordia Avalon City Phase I, 838 sqft, Ready to Move, 9 out of 10,Resale, Unfurnished, West, Freehold, 904 Covered, 2, 2, ₹84 Lac, ₹8 061 per sqft
2 BHK Apartment for Sale in Geet Siddhi  Moshi Pune, Geet Siddhi, 700 sqft, Ready to Move, 3 out of 7,Resale, Unfurnished, North, Co-operative Society, None, 2, 2, ₹77 Lac, ₹6 358 per sqft
2 BHK Apartment for Sale in Tanish Orchid  Charholi BK Pune, Tanish Orchid, 481 sqft, Ready to Move, 10 out of 12,Resale, Unfurnished, None, None, None, 2, 3, ₹40 Lac, ₹5 202 per sqft
1 BHK Apartment for Sale in Jayhind Hillside  Dudulgaon  Alandi Pune, Jayhind Hillside, 435 sqft, Ready to Move, 11 out of 12,Resale, Unfurnished, East, Freehold, 1 Covered , 1, 1, ₹28.5 Lac, ₹4 364 per sqft
2 BHK Apartment for Sale in Voski Emerald  Kharadi Pune, Voski Emerald, 903 sqft, Ready to Move, 8 out of 10,Resale, Unfurnished, East, Freehold, None, 2, 2, ₹90 Lac, ₹8 145 per sqft
2 BHK Apartment for Sale in Atria Grande  Handewadi Pune, Atria Grande, 850 sqft, Ready to Move, 9 out of 11,Resale, Unfurnished, North, Co-operative Society, None, 2, 1, ₹60 Lac, ₹7 059 per sqft
3 BHK Apartment for Sale in Gini Sanskruti  Hadapsar Pune, Gini Sanskruti, 1220 sqft, Ready to Move, 3 out of 8,Resale, Semi-Furnished, None, Co-operative Society, None, 3, 2, ₹68 Lac, ₹4 964 per sqft
3 BHK Apartment for Sale in Vision City  Talegaon Dabhade Pune, Vision City, 1250 sqft, Ready to Move, 2 out of 4,Resale, Unfurnished, None, None, None, 3, 1, ₹48 Lac, ₹3 840 per sqft
3 BHK Apartment for Sale in Lotus Court  Bhoslenagar Ashok Nagar Pune, Lotus Court, 1158 sqft, Ready to Move, 3 out of 14,Resale, Furnished, West, Freehold, None, 3, 1, ₹1.40 Cr, ₹9 032 per sqft
1 BHK Apartment for Sale in Rajmata Star City  Moshi Pune, Rajmata Star City, 480 sqft, Ready to Move, 10 out of 11,Resale, Semi-Furnished, East, Co-operative Society, 1 Open, 1, 1, ₹33 Lac, ₹5 482 per sqft
2 BHK Apartment for Sale in Madhuban Society  Vishrantwadi  Airport Road Pune, Madhuban Society, 850 sqft, Ready to Move, 7 out of 7,Resale, Furnished, West, Co-operative Society, None, 2, 2, ₹67 Lac, ₹6 537 per sqft
3 BHK Apartment for Sale in Godrej Hill Retreat  Mahalunge Pune, Godrej Hill Retreat, 960 sqft, Poss. by Dec '25, 32 out of 33,New Property, Unfurnished, West, Co-operative Society, None, 3, 3, ₹1.03 Cr, ₹10 729 per sqft
3 BHK Apartment for Sale in Solitaire Residency  Aundh Pune, Solitaire Residency, 1540 sqft, Ready to Move, 1 out of 7,Resale, Unfurnished, North - East, Co-operative Society, None, 3, 3, ₹1.60 Cr, ₹10 390 per sqft
3 BHK Apartment for Sale in Baner Pune, None, 1250 sqft, Ready to Move, 18 out of 25,New Property, Unfurnished, East, Freehold, None, 3, 3, ₹1.40 Cr, ₹8 299 per sqft
2 BHK Apartment for Sale in Sai Angan Apartment  Pimple Saudagar  Pimpri Chinchwad Pune, Sai Angan Apartment, 1010 sqft, Ready to Move, 3 out of 4,Resale, Unfurnished, East, Freehold, None, 2, 1, ₹82 Lac, ₹8 119 per sqft
2 BHK Apartment for Sale in 99 Riverfront  Baner Pune, 99 Riverfront, 821 sqft, Ready to Move, 7 out of 13,Resale, Unfurnished, East, None, None, 2, 2, ₹1.21 Cr, ₹11 524 per sqft
2 BHK Apartment for Sale in Nisarg Srushti Manjri Budruk   Manjari Khurd Pune, Nisarg Srushti Manjri Budruk, 750 sqft, Ready to Move, 7 out of 7,Resale, Unfurnished, East, Freehold, None, 2, 2, ₹75 Lac, ₹7 732 per sqft
1 BHK Apartment for Sale in Royal Rahadki Greens  Rahatani Pune, Royal Rahadki Greens, 350 sqft, Ready to Move, 1 out of 6,None, Semi-Furnished, East, Freehold, 1 Covered, 1, 1, ₹45 Lac, ₹10 000 per sqft
3 BHK Penthouse for Sale in Wadgaon Sheri Pune, None, 1600 sqft, Ready to Move, 3 out of 4,Resale, Semi-Furnished, East, Freehold, 2 Covered, 4, None, ₹1.10 Cr, ₹6 875 per sqft
1 BHK Apartment for Sale in Ganga Vatika  Lonikand Pune, Ganga Vatika, 580 sqft, Ready to Move, 7 out of 7,Resale, Unfurnished, East, Co-operative Society, None, 1, 2, ₹22 Lac, ₹4 074 per sqft
2 BHK Apartment for Sale in Address One  Gahunje Pune, Address One, 45 sqm, Ready to Move, 3 out of 5,Resale, Unfurnished, None, Co-operative Society, None, 2, 2, ₹45 Lac, ₹6 636 per sqft
3 BHK Apartment for Sale in Life Republic Aros  Hinjawadi Pune, Life Republic Aros, 1176 sqft, Ready to Move, 9 out of 22,Resale, Unfurnished, East, Freehold, None, 3, 2, ₹98 Lac, ₹6 171 per sqft
2 BHK Apartment for Sale in Nere Pune, None, 660 sqft, Ready to Move, 4 out of 4,Resale, Unfurnished, East, Freehold, None, 2, 1, ₹40 Lac, ₹5 714 per sqft
1 BHK Apartment for Sale in Dreams Sankalp Phase 2  Wagholi Pune, Dreams Sankalp Phase 2, 464 sqft, Ready to Move, 3 out of 11,Resale, Semi-Furnished, North, Freehold, None, 1, 2, ₹30 Lac, ₹4 518 per sqft
1 BHK Apartment for Sale in Xrbia Chakan  Chakan Pune, Xrbia Chakan, 300 sqft, Ready to Move, 1 out of 1,Resale, Unfurnished, None, Co-operative Society, None, 1, 1, ₹14 Lac, ₹4 000 per sqft
1 BHK Apartment for Sale in Talegaon Dabhade Pune, None, 376 sqft, Ready to Move, 2 out of 4,Resale, Unfurnished, East, Freehold, 1 Covered , 1, 1, ₹18 Lac, ₹3 913 per sqft
5 BHK Apartment for Sale in Windsor Avenue  Azad Nagar Wanowrie Pune, Windsor Avenue, 2085 sqft, Ready to Move, 5 out of 9,Resale, Semi-Furnished, East, Freehold, None, 5, 3, ₹3.50 Cr, ₹16 787 per sqft
1 BHK Apartment for Sale in Samrudhi  Kesnand Pune, Samrudhi, 462 sqft, Ready to Move, 2 out of 4,Resale, Unfurnished, East, Freehold, None, 1, 1, ₹21 Lac, ₹3 493 per sqft
