property_title, society_name, carpet_area, status, floor_info,transaction_type, furnishing_type, facing, ownership_type, car_parking, bathroom_count, balcony_count, price_amount, price_per_sqft 
4 BHK Builder Floor for Sale in Sushant Lok 3  Sector 57 Gurgaon, None, 1800 sqft, Ready to Move, 4 out of 4,New Property, Unfurnished, None, Freehold, None, 4, 2, ₹2.49 Cr, ₹9 960 per sqft
3 BHK Builder Floor for Sale in South City 1 Gurgaon, None, 240 sqyrd, Ready to Move, 4 out of 4,New Property, Semi-Furnished, None, Freehold, None, 3, 2, ₹2.80 Cr, ₹12 963 per sqft
5 BHK Penthouse for Sale in Residency Apartment  Ardee City  Sector 52 Gurgaon, Residency Apartment, 3046 sqft, Ready to Move, 4 out of 7,Resale, Semi-Furnished, North - East, Freehold, None, 5, 8, ₹2.90 Cr, ₹8 319 per sqft
4 BHK Builder Floor for Sale in Uppal Southend Plots  Sector 49 Gurgaon, Uppal Southend Plots, 2150 sqft, Ready to Move, 2 out of 4,New Property, Semi-Furnished, North - East, Freehold, 2 Covered, 4, 3, ₹2.60 Cr, ₹13 333 per sqft
4 BHK Builder Floor for Sale in Aaron Ville  Sector 48 Gurgaon, Aaron Ville, 268 sqyrd, Ready to Move, Upper Basement out of 2,Resale, Semi-Furnished, East, Freehold, 1 Covered , 4, 3, ₹5.10 Cr, ₹21 144 per sqft
3 BHK Villa for Sale in Block D Sector 50 Gurgaon, None, 850 sqft, Ready to Move, None,Resale, Unfurnished, West, Freehold, None, 3, 2, ₹3.02 Cr, ₹25 167 per sqft
3 BHK Apartment for Sale in Unitech Uniworld Garden II  Sector 47 Gurgaon, Unitech Uniworld Garden II, 1250 sqft, Ready to Move, 8 out of 14,Resale, Semi-Furnished, North - East, Freehold, 1 Covered , 3, 3, ₹1.45 Cr, ₹11 154 per sqft
3 BHK Builder Floor for Sale in Sector 33 Sohna Gurgaon, None, 998 sqft, Ready to Move, 2 out of 4,New Property, Semi-Furnished, North - East, Freehold, 1 Covered, 2, 3, ₹1.15 Cr, ₹8 014 per sqft
3 BHK Apartment for Sale in Essel Towers  Mehrauli Gurgaon Road Gurgaon, Essel Towers, 1354 sqft, Ready to Move, 5 out of 14,Resale, Semi-Furnished, East, Freehold, None, 3, 4, ₹1.86 Cr, ₹13 737 per sqft
4 BHK Builder Floor for Sale in Sector 57 Gurgaon, None, 2100 sqft, Ready to Move, 1 out of 4,New Property, Semi-Furnished, West, Freehold, None, 4, 2, ₹2.90 Cr, ₹9 355 per sqft
3 BHK Apartment for Sale in BPTP Amstoria  Sector 102 Gurgaon, BPTP Amstoria, 1150 sqft, Ready to Move, 3 out of 3,Resale, Semi-Furnished, North - East, Freehold, 1 Open, 3, 3, ₹1.85 Cr, ₹10 452 per sqft
4 BHK Apartment for Sale in Navketan Apartment  Sector 31 Gurgaon, Navketan Apartment, 2350 sqft, Ready to Move, 10 out of 14,Resale, Semi-Furnished, East, Freehold, None, 4, 4, ₹2.45 Cr, ₹8 448 per sqft
2 BHK Apartment for Sale in Pyramid Urban Homes  Sector 70 Gurgaon, Pyramid Urban Homes, 525 sqft, Ready to Move, 5 out of 14,Resale, Furnished, North - West, Freehold, None, 2, 1, ₹63 Lac, ₹7 636 per sqft
4 BHK Builder Floor for Sale in Anant Raj Estate  Sector 63A Gurgaon, Anant Raj Estate, 2050 sqft, Ready to Move, 4 out of 4,New Property, Semi-Furnished, East, Freehold, 2 Covered, 3, 2, ₹2.70 Cr, ₹12 000 per sqft
3 BHK Builder Floor for Sale in Sector 45 Gurgaon, None, 1775 sqft, Ready to Move, 3 out of 4,New Property, Semi-Furnished, North - East, Freehold, 1 Covered , 3, 2, ₹2.35 Cr, ₹9 928 per sqft
4 BHK Apartment for Sale in Spaze Privy 72  Sector 72 Gurgaon, Spaze Privy 72, 2000 sqft, Ready to Move, Ground out of 12,Resale, Semi-Furnished, East, Freehold, 12 Covered, 4, 2, ₹2.60 Cr, ₹10 012 per sqft
4 BHK Apartment for Sale in Emaar MGF Palm Terraces  Sector 66 Gurgaon, Emaar MGF Palm Terraces, 2100 sqft, Ready to Move, 11 out of 23,Resale, Semi-Furnished, North - East, Freehold, None, 5, 4, ₹3.30 Cr, ₹15 714 per sqft
3 BHK Builder Floor for Sale in Block G DLF Phase 1 Gurgaon, None, 1985 sqft, Ready to Move, 4 out of 4,New Property, Semi-Furnished, East, Freehold, 2 Covered, 3, 2, ₹3.65 Cr, ₹1 46 000 per sqft
3 BHK Apartment for Sale in Adani M2K Oyster Grande  Sector 102 Gurgaon, Adani M2K Oyster Grande, 1600 sqft, Ready to Move, 9 out of 24,Resale, Semi-Furnished, East, Freehold, 1 Covered, 3, 3, ₹2.40 Cr, ₹12 705 per sqft
3 BHK Apartment for Sale in Ansal Esencia Sovereign Floors  Sector 67 Gurgaon, Ansal Esencia Sovereign Floors, 2400 sqft, Ready to Move, 4 out of 4,New Property, Furnished, East, Freehold, None, 3, 3, ₹1.80 Cr, ₹7 500 per sqft
4 BHK Builder Floor for Sale in DLF City Phase 1  Phase 1 DLF Gurgaon, DLF City Phase 1, 3500 sqft, Ready to Move, Ground out of 4,New Property, Semi-Furnished, North - East, Freehold, 2 Covered, 5, 2, ₹6.25 Cr, ₹17 857 per sqft
2 BHK Apartment for Sale in Eldeco Accolade  Sohna Gurgaon, Eldeco Accolade, 726 sqft, Ready to Move, 7 out of 17,New Property, Unfurnished, North, Freehold, None, 2, 3, ₹1 Cr, ₹7 911 per sqft
5 BHK Builder Floor for Sale in Palam Vihar Gurgaon, None, 520 sqyrd, Ready to Move, None,New Property, Furnished, North - West, Freehold, 3 Covered , 4, 4, ₹2.65 Cr, ₹5 889 per sqft
2 BHK Apartment for Sale in DLF Princeton Estate  Phase 5 DLF Gurgaon, DLF Princeton Estate, 982 sqft, Ready to Move, 6 out of 15,Resale, Semi-Furnished, North, Freehold, 1 Open, 2, 1, ₹1.95 Cr, ₹19 857 per sqft
5 BHK Villa for Sale in BPTP Visionnaire Luxe Villas  Sector 70A Gurgaon, BPTP Visionnaire Luxe Villas, 290 sqft, Ready to Move, None,New Property, Semi-Furnished, North - East, Freehold, 2 Covered , 5, 5, ₹6.50 Cr, None
3 BHK Builder Floor for Sale in Sushant Lok-I  Sector 43 Gurgaon, None, 1800 sqft, Ready to Move, 4 out of 4,New Property, Semi-Furnished, East, Freehold, None, 3, 2, ₹3 Cr, ₹15 000 per sqft
3 BHK Apartment for Sale in Whiteland The ASPEN  Sector 76  Delhi Gurgaon Expressway Gurgaon, Whiteland The ASPEN, 2937 sqft, Poss. by Jun '27, 12 out of 27,New Property, Unfurnished, North - East, Freehold, None, 4, 3, ₹3.95 Cr, ₹13 449 per sqft
4 BHK Apartment for Sale in Unitech The Close North  Nirvana Country  Sector 50 Gurgaon, Unitech The Close North, 2000 sqft, Ready to Move, 5 out of 19,Resale, Semi-Furnished, North - East, Freehold, 2 Covered, 4, 4, ₹4.25 Cr, ₹14 167 per sqft
4 BHK Apartment for Sale in Kendriya Vihar Sector 56  Kendriya Vihar  Sector 56 Gurgaon, Kendriya Vihar Sector 56, 1600 sqft, Ready to Move, 7 out of 9,Resale, Semi-Furnished, North, Freehold, 1 Covered , 4, 3, ₹1.75 Cr, ₹10 000 per sqft
4 BHK Builder Floor for Sale in Block B Sushant Lok Phase 1 Gurgaon, None, 400 sqyrd, Ready to Move, 2 out of 4,New Property, Semi-Furnished, West, Freehold, None, 5, 4, ₹4.40 Cr, ₹10 864 per sqft
4 BHK Builder Floor for Sale in RWA Sector 57  Mayfield Garden  Sector 51 Gurgaon, RWA Sector 57, 2025 sqft, Ready to Move, 2 out of 4,New Property, Semi-Furnished, North - East, Freehold, None, 4, 2, ₹3.25 Cr, ₹12 037 per sqft
3 BHK Apartment for Sale in Unitech Escape  Nirvana Country  Sector 50 Gurgaon, Unitech Escape, 1970 sqft, Ready to Move, 2 out of 19,Resale, Semi-Furnished, North, Freehold, 2 Covered, 3, 3, ₹2.99 Cr, ₹15 078 per sqft
4 BHK Builder Floor for Sale in Block A Sushant Lok Phase 1 Gurgaon, None, 345 sqyrd, Ready to Move, 2 out of 4,New Property, Semi-Furnished, North - West, Freehold, 3 Covered , 4, 2, ₹4.15 Cr, None
4 BHK Builder Floor for Sale in Sector 82 Gurgaon, None, 2800 sqft, Ready to Move, 2 out of 4,New Property, Semi-Furnished, East, None, None, 5, 2, ₹3.45 Cr, ₹9 583 per sqft
4 BHK  House for Sale in Palam Vihar Gurgaon, None, 2100 sqft, Ready to Move, 1 out of 2,Resale, Unfurnished, North - East, Freehold, None, 4, 2, ₹3.70 Cr, ₹17 619 per sqft
3 BHK Apartment for Sale in Sector 111 Gurgaon, None, 2282 sqft, Poss. by Dec '28, 6 out of 32,New Property, Unfurnished, North - East, Freehold, 1 Covered , 3, 3, ₹3.94 Cr, ₹17 300 per sqft
2 BHK Apartment for Sale in M3M Skywalk  Sector 74  Delhi Gurgaon Expressway Gurgaon, M3M Skywalk, 1424 sqft, Ready to Move, 28 out of 30,Resale, Semi-Furnished, North, Freehold, None, 2, 4, ₹2 Cr, ₹14 045 per sqft
4 BHK Builder Floor for Sale in Sector 49 Gurgaon, None, 2000 sqft, Ready to Move, 1 out of 4,New Property, Semi-Furnished, East, Freehold, 2 Covered, 4, 2, ₹2.60 Cr, ₹11 818 per sqft
3 BHK Apartment for Sale in Paras Dews  Sector 106 Gurgaon, Paras Dews, 1750 sqft, Ready to Move, 16 out of 23,Resale, Unfurnished, North - East, Freehold, 1 Covered , 4, 3, ₹1.46 Cr, ₹8 295 per sqft
2 BHK Apartment for Sale in Signature Global The Millennia  Sector 37D  Delhi Gurgaon Expressway Gurgaon, Signature Global The Millennia, 552 sqft, Ready to Move, 10 out of 19,Resale, Unfurnished, South -West, Freehold, None, 2, 4, ₹50 Lac, ₹5 882 per sqft
3 BHK Apartment for Sale in DLF Richmond Park  Sector 27 Gurgaon, DLF Richmond Park, 1800 sqft, Ready to Move, 14 out of 19,Resale, Semi-Furnished, North, Freehold, 1 Covered, 3, 3, ₹3.90 Cr, ₹19 024 per sqft
3 BHK Apartment for Sale in DLF New Town Heights 1  Sector 90 Gurgaon, DLF New Town Heights 1, 2384 sqft, Ready to Move, 1 out of 26,Resale, Semi-Furnished, South - East, Freehold, 2 Covered, 2, 3, ₹1.88 Cr, ₹7 886 per sqft
3 BHK Apartment for Sale in Mahindra Aura  Sector 110A Gurgaon, Mahindra Aura, 1410 sqft, Ready to Move, 6 out of 14,Resale, Semi-Furnished, North - East, Freehold, 1 Open, 3, 3, ₹1.60 Cr, ₹9 907 per sqft
3 BHK Apartment for Sale in Emaar Emerald Hills  Sector 65 Gurgaon, Emaar Emerald Hills, 1620 sqft, Ready to Move, 1 out of 2,Resale, Semi-Furnished, North - East, Freehold, 1 Covered , 3, 3, ₹2.50 Cr, ₹13 889 per sqft
3 BHK Apartment for Sale in Suncity Vatsal Valley  Gwal Pahari Gurgaon, Suncity Vatsal Valley, 1400 sqft, Ready to Move, 2 out of 4,New Property, Semi-Furnished, East, Freehold, 1 Covered , 3, 2, ₹1.50 Cr, ₹10 714 per sqft
3 BHK Apartment for Sale in Emaar MGF The Enclave  Sector 66 Gurgaon, Emaar MGF The Enclave, 1900 sqft, Ready to Move, 9 out of 15,Resale, Semi-Furnished, North - East, Freehold, 1 Covered, 3, 2, ₹2.24 Cr, ₹11 667 per sqft
3 BHK Builder Floor for Sale in Phase 1 DLF Gurgaon, None, 1950 sqft, Ready to Move, 1 out of 4,New Property, Semi-Furnished, East, Freehold, 2 Covered, 3, 2, ₹2.30 Cr, ₹10 698 per sqft
3 BHK Builder Floor for Sale in Sushant Lok Builder Floors  Sushant Lok Gurgaon, Sushant Lok Builder Floors, 1600 sqft, Ready to Move, 4 out of 4,Resale, Semi-Furnished, North, Freehold, 2 Covered, 3, 2, ₹2.70 Cr, ₹16 875 per sqft
3 BHK Apartment for Sale in Ambience Lagoon  Sector 24 Gurgaon, Ambience Lagoon, 2100 sqft, Ready to Move, 7 out of 9,Resale, Semi-Furnished, East, Freehold, 1 Covered, 4, 2, ₹3.40 Cr, ₹14 167 per sqft
3 BHK Apartment for Sale in BPTP Terra  Sector 37D  Delhi Gurgaon Expressway Gurgaon, BPTP Terra, 1811 sqft, Ready to Move, 5 out of 23,New Property, Unfurnished, North - East, Freehold, None, 3, 3, ₹1.59 Cr, ₹8 320 per sqft
4 BHK Builder Floor for Sale in Aradhya Homes  Sector 67A Gurgaon, Aradhya Homes, 1800 sqft, Ready to Move, 1 out of 4,New Property, Semi-Furnished, East, Freehold, None, 4, 2, ₹2.15 Cr, ₹9 773 per sqft
4 BHK Apartment for Sale in Vatika India Next 2   Sector 89A Gurgaon, Vatika India Next 2, 2200 sqft, Ready to Move, 1 out of 10,New Property, Semi-Furnished, North - East, Freehold, 2 Covered , 4, 4, ₹2.37 Cr, ₹9 500 per sqft
3 BHK Apartment for Sale in Emaar Emerald Estate  Sector 65 Gurgaon, Emaar Emerald Estate, 1395 sqft, Ready to Move, 6 out of 12,Resale, Unfurnished, None, None, None, 3, 3, ₹2.10 Cr, ₹15 054 per sqft
2 BHK Apartment for Sale in Signature Global The Millennia  Garauli Khurd  Sector 37D  Delhi Gurgaon Expressway Gurgaon, Signature Global The Millennia, 596 sqft, Ready to Move, 5 out of 14,Resale, Unfurnished, East, Freehold, 1 Covered , 2, 3, ₹48 Lac, ₹4 898 per sqft
3 BHK Apartment for Sale in Mapsko Casa Bella  Sector 82 Gurgaon, Mapsko Casa Bella, 1430 sqft, Ready to Move, 8 out of 20,Resale, Semi-Furnished, North - East, Freehold, 1 Covered, 3, 4, ₹1.15 Cr, ₹8 042 per sqft
3 BHK Apartment for Sale in Orris 3c Greenpolis  Sector 89 Gurgaon, Orris 3c Greenpolis, 1600 sqft, Ready to Move, 2 out of 15,Resale, Unfurnished, South - East, None, None, 3, 3, ₹1.10 Cr, ₹5 759 per sqft
4 BHK Builder Floor for Sale in Sushant Lok Gurgaon, None, 2100 sqft, Ready to Move, Ground out of 4,Resale, Unfurnished, South - East, Freehold, 2 Covered, 4, 4, ₹3.85 Cr, ₹14 259 per sqft
3 BHK Builder Floor for Sale in Sector 57 Gurgaon, None, 1750 sqft, Ready to Move, 2 out of 4,New Property, Semi-Furnished, West, Freehold, None, 3, 3, ₹1.90 Cr, ₹10 556 per sqft
3 BHK Apartment for Sale in Vatika Lifestyle Homes  Sector 83 Gurgaon, Vatika Lifestyle Homes, 1309 sqft, Ready to Move, 8 out of 10,Resale, Unfurnished, West, Freehold, 1 Covered, 2, 2, ₹1.52 Cr, ₹8 128 per sqft
3 BHK Apartment for Sale in ATS Triumph  Sector 104 Gurgaon, ATS Triumph, 1800 sqft, Ready to Move, 10 out of 20,Resale, Semi-Furnished, North - East, Freehold, 2 Covered, 3, 4, ₹2.10 Cr, ₹9 170 per sqft
3 BHK Apartment for Sale in M3M Capital  Sector 113 Gurgaon, M3M Capital, 1300 sqft, Poss. by Dec '25, 18 out of 36,New Property, Semi-Furnished, North - East, Freehold, 1 Covered, 3, 4, ₹2.36 Cr, ₹14 200 per sqft
4 BHK Villa for Sale in Tata Primanti  Sector 72 Gurgaon, Tata Primanti, 7000 sqft, Ready to Move, None,Resale, Semi-Furnished, None, None, 3 Covered, 4, 4, ₹9.80 Cr, ₹14 000 per sqft
3 BHK Apartment for Sale in DLF Regal Gardens  Sector 90 Gurgaon, DLF Regal Gardens, 1755 sqft, Ready to Move, 18 out of 25,Resale, Semi-Furnished, North - East, Freehold, None, 3, 3, ₹1.80 Cr, ₹10 256 per sqft
3 BHK Apartment for Sale in Dharampur Main Road Gurgaon, None, 1745 sqft, Ready to Move, 8 out of 15,Resale, Semi-Furnished, North - East, Freehold, 1 Covered , 3, 5, ₹2.40 Cr, ₹10 265 per sqft
4 BHK Builder Floor for Sale in Aradhya Homes  Sector 67A Gurgaon, Aradhya Homes, 2000 sqft, Ready to Move, 2 out of 4,New Property, Furnished, North - East, Freehold, 2 Covered , 4, 2, ₹1.85 Cr, ₹8 409 per sqft
