property_title, society_name, carpet_area, status, floor_info,transaction_type, furnishing_type, facing, ownership_type, car_parking, bathroom_count, balcony_count, price_amount, price_per_sqft 
2 BHK Apartment for Sale in Naroda Ahmedabad, None, 135 sqyrd, Ready to Move, 3 out of 8,Resale, Unfurnished, None, None, None, 2, None, ₹40 Lac, ₹3 292 per sqft
2 BHK Apartment for Sale in Ahmedabad, None, 132 sqyrd, Ready to Move, 1 out of 5,Resale, Furnished, None, None, None, 2, 2, ₹55 Lac, None
2 BHK Apartment for Sale in Shyam Shree Radhe Krishna Royal  Hanspura  Naroda Ahmedabad, Shyam Shree Radhe Krishna Royal, 608 sqft, Ready to Move, 4 out of 7,Resale, Unfurnished, None, Freehold, 1 Covered, 2, 2, ₹45 Lac, None
2 BHK Apartment for Sale in Mahadev Sri Nand City 7  New Maninagar Ahmedabad, Mahadev Sri Nand City 7, 120 sqyrd, Ready to Move, 5 out of 5,Resale, Unfurnished, None, None, None, 2, 1, ₹27 Lac, ₹2 500 per sqft
3 BHK Penthouse for Sale in Sarkhej Gandhinagar Highway Ahmedabad, None, 3700 sqft, Ready to Move, 12 out of 13,Resale, Furnished, None, None, None, 3, None, ₹1.65 Cr, ₹4 459 per sqft
3 BHK Builder Floor for Sale in Nikol Ahmedabad, None, 1935 sqft, Ready to Move, 2 out of 5,Resale, Unfurnished, None, None, None, 3, 3, ₹50 Lac, ₹2 584 per sqft
1 BHK Villa for Sale in Isanpur Ahmedabad, None, 750 sqft, Ready to Move, None,Resale, Semi-Furnished, None, None, None, 1, None, ₹35 Lac, ₹4 667 per sqft
2 BHK  House for Sale in Shahibag Ahmedabad, None, 986 sqft, Ready to Move, Ground out of 3,Resale, Semi-Furnished, None, None, None, 2, None, ₹85 Lac, ₹8 621 per sqft
2 BHK Apartment for Sale in Karnavati Club Road Ahmedabad, None, 133 sqft, Ready to Move, 2 out of 4,Resale, Semi-Furnished, North, Freehold, None, 3, 2, ₹80 Lac, ₹5 556 per sqft
2 BHK Builder Floor for Sale in SP Ring Road Ahmedabad, None, 700 sqft, Ready to Move, 3 out of 6,Resale, Semi-Furnished, None, None, None, 2, None, ₹23 Lac, ₹3 286 per sqft
5 BHK  House for Sale in Old City Ahmedabad, None, 1404 sqft, Ready to Move, Ground out of 3,Resale, Unfurnished, None, None, None, 3, None, ₹75 Lac, ₹5 342 per sqft
4 BHK  House for Sale in Sanand Ahmedabad, None, 3208 sqft, Ready to Move, None,Resale, Unfurnished, None, None, None, 5, 1, ₹1.40 Cr, ₹4 364 per sqft
1 BHK  House for Sale in Narolgam Ahmedabad, None, 50 sqyrd, Ready to Move, None,Resale, Unfurnished, None, None, None, 1, None, ₹15 Lac, ₹3 333 per sqft
2 BHK Apartment for Sale in Gota Ahmedabad, None, 1170 sqft, Ready to Move, 8 out of 9,Resale, Furnished, East, Co-operative Society, None, 2, 2, ₹65 Lac, ₹5 556 per sqft
3 BHK Apartment for Sale in 132 Feet Ring Road Ahmedabad, None, 1250 sqft, Ready to Move, 1 out of 4,Resale, Unfurnished, None, None, None, 2, None, ₹55 Lac, ₹4 400 per sqft
2 BHK Apartment for Sale in Ashram Road Ahmedabad, None, 800 sqft, Ready to Move, 2 out of 4,Resale, Semi-Furnished, None, None, None, 2, None, ₹65 Lac, ₹8 125 per sqft
2 BHK Builder Floor for Sale in Hathijan Ahmedabad, None, 800 sqft, Ready to Move, 4 out of 5,Resale, Unfurnished, None, None, None, 2, None, ₹25 Lac, ₹3 125 per sqft
2 BHK  House for Sale in Kalupur Ahmedabad, None, 612 sqft, Ready to Move, None,Resale, Furnished, None, None, None, 3, 2, ₹85 Lac, ₹4 106 per sqft
1 BHK Apartment for Sale in Vasna Ahmedabad, None, 77 sqyrd, Ready to Move, 4 out of 8,Resale, Furnished, None, None, None, 1, None, ₹35 Lac, ₹5 051 per sqft
2 BHK  House for Sale in Ranip Ahmedabad, None, 150 sqft, Ready to Move, Ground out of 2,Resale, Semi-Furnished, None, None, None, 3, None, ₹91 Lac, ₹60 667 per sqft
3 BHK Apartment for Sale in Devkrupa greens Ahmedabad, None, 1000 sqft, Ready to Move, 7 out of 7,Resale, Semi-Furnished, None, None, None, 3, 1, ₹35 Lac, None
5 BHK Apartment for Sale in Ahmedabad, None, 3300 sqft, Ready to Move, 11 out of 23,New Property, Unfurnished, East, None, None, 5, 3, ₹5 Cr, ₹8 333 per sqft
2 BHK Apartment for Sale in Shela Ahmedabad, None, 2000 sqft, Ready to Move, 2 out of 12,Resale, Unfurnished, None, None, None, 2, None, ₹95 Lac, ₹4 750 per sqft
2 BHK Apartment for Sale in Chandlodiya Ahmedabad, None, 600 sqft, Ready to Move, 4 out of 4,Resale, Unfurnished, None, None, 1 Covered, 2, None, ₹25 Lac, ₹4 167 per sqft
2 BHK Apartment for Sale in Nikol Ahmedabad, None, 1215 sqft, Ready to Move, 1 out of 8,Resale, Furnished, None, None, None, 2, None, ₹50 Lac, ₹4 115 per sqft
2 BHK  House for Sale in Jaymala  Isanpur Ahmedabad, None, 1000 sqft, Ready to Move, Ground out of 1,Resale, Unfurnished, None, None, None, 1, None, ₹1.30 Cr, ₹13 000 per sqft
3 BHK Apartment for Sale in Vastral Ahmedabad, None, 182 sqyrd, Ready to Move, 6 out of 8,Resale, Semi-Furnished, None, None, None, 3, None, ₹58 Lac, ₹3 541 per sqft
1 BHK Apartment for Sale in Raghuleela Residency  Vastral Ahmedabad, Raghuleela Residency, 500 sqft, None, Lower Basement out of 1,Resale, Unfurnished, East, Freehold, None, 1, None, ₹50 Lac, ₹10 000 per sqft
4 BHK  House for Sale in A14 Ravi park  Limda bus stop  Bhargav Road  Meghani Nagar Ahmedabad 16 Ahmedabad, None, 1000 sqft, Ready to Move, 2 out of 2,Resale, Unfurnished, None, None, None, 2, None, ₹50 Lac, ₹5 000 per sqft
1 BHK Apartment for Sale in Maninagar Ahmedabad, None, 65 sqft, Ready to Move, 3 out of 4,Resale, Unfurnished, None, None, None, 1, 1, ₹16.5 Lac, ₹23 571 per sqft
2 BHK Apartment for Sale in Nikol Ahmedabad, None, 160 sqyrd, Ready to Move, 5 out of 6,Resale, Furnished, None, None, None, 2, None, ₹58 Lac, ₹4 028 per sqft
3 BHK Apartment for Sale in Bopal Ahmedabad, None, 1527 sqft, Poss. by May '24, 2 out of 10,Resale, Unfurnished, None, None, None, 3, 2, ₹1.30 Cr, ₹5 108 per sqft
3 BHK Apartment for Sale in Ahmedabad, None, 73 sqyrd, Ready to Move, 6 out of 7,Resale, Semi-Furnished, None, None, None, 3, 1, ₹65 Lac, ₹9 893 per sqft
2 BHK Apartment for Sale in Sahitya Residency  Nikol Ahmedabad, Sahitya Residency, 1710 sqft, Ready to Move, 5 out of 5,Resale, Unfurnished, None, None, None, 2, 1, ₹60.5 Lac, ₹3 538 per sqft
3 BHK Apartment for Sale in Nikol Ahmedabad, None, 1701 sqft, Ready to Move, 5 out of 7,New Property, Unfurnished, None, Freehold, None, 3, 1, ₹85 Lac, ₹3 498 per sqft
5 BHK  House for Sale in Vejalpur  Jivraj park Ahmedabad, None, 2800 sqft, Ready to Move, Ground out of 2,Resale, Furnished, North, Freehold, None, 3, 2, ₹2.25 Cr, ₹8 036 per sqft
2 BHK Apartment for Sale in Rajarhat Ahmedabad, None, 127 sqyrd, Ready to Move, 4 out of 7,Resale, Semi-Furnished, None, None, None, 2, None, ₹50 Lac, ₹4 374 per sqft
1 BHK Apartment for Sale in Maninagar Ahmedabad, None, 71 sqyrd, Ready to Move, 1 out of 4,Resale, Semi-Furnished, None, None, None, 1, None, ₹31 Lac, ₹4 851 per sqft
1 BHK Apartment for Sale in Odhav Ahmedabad, None, 85 sqyrd, Ready to Move, 4 out of 5,Resale, Semi-Furnished, None, None, None, 1, None, ₹28 Lac, ₹3 660 per sqft
1 BHK Apartment for Sale in Naroda Ahmedabad, None, 200 sqft, Ready to Move, 4 out of 7,Resale, Furnished, None, None, None, 1, None, ₹25 Lac, ₹12 500 per sqft
4 BHK Villa for Sale in gordhanwadi tekro Ahmedabad, None, 150 sqyrd, Ready to Move, None,Resale, Unfurnished, North, Freehold, None, 1, None, ₹3.75 Cr, ₹27 778 per sqft
3 BHK Apartment for Sale in Sardar Patel Ring Road Ahmedabad, None, 1250 sqft, Ready to Move, 1 out of 16,Resale, Semi-Furnished, None, None, None, 3, 2, ₹1.25 Cr, ₹6 210 per sqft
3 BHK Apartment for Sale in Vastral Ahmedabad, None, 1683 sqft, Ready to Move, 2 out of 5,Resale, Furnished, None, None, None, 3, None, ₹78 Lac, ₹4 635 per sqft
2 BHK Apartment for Sale in Abjipapa-1  Vejalpur Ahmedabad, None, 1215 sqft, Ready to Move, 3 out of 5,Resale, Furnished, None, None, None, 2, None, ₹75 Lac, ₹6 173 per sqft
2 BHK  House for Sale in D Cabin  Chandkheda Ahmedabad, None, 1200 sqft, Ready to Move, None,Resale, Furnished, East, Co-operative Society, None, 2, None, ₹1 Cr, None
3 BHK Apartment for Sale in Shela Ahmedabad, None, 1700 sqft, Ready to Move, 19 out of 21,Resale, Unfurnished, None, None, None, 2, None, ₹90 Lac, ₹5 294 per sqft
1 BHK  House for Sale in Naroda Ahmedabad, None, 78 sqyrd, Ready to Move, 1 out of 5,Resale, Semi-Furnished, None, None, None, 1, None, ₹24 Lac, ₹3 419 per sqft
2 BHK Builder Floor for Sale in Ghodasar Ahmedabad, None, 114 sqyrd, Ready to Move, 4 out of 5,Resale, Semi-Furnished, None, None, None, 2, None, ₹35 Lac, ₹3 411 per sqft
2 BHK Apartment for Sale in Nava Naroda Ahmedabad, None, 108 sqyrd, Ready to Move, 5 out of 6,Resale, Furnished, None, None, None, 2, None, ₹35 Lac, ₹3 601 per sqft
6 BHK  House for Sale in Maninagar Ahmedabad, None, 510 sqyrd, Ready to Move, None,Resale, Semi-Furnished, None, None, 7 Covered, 2, 1, ₹2.81 Cr, ₹6 122 per sqft
2 BHK Apartment for Sale in Shahibag Ahmedabad, None, 160 sqyrd, Ready to Move, 4 out of 8,Resale, Unfurnished, None, None, None, 2, 1, ₹80 Lac, ₹5 556 per sqft
2 BHK Apartment for Sale in Chandkheda Ahmedabad, None, 133 sqyrd, Ready to Move, 2 out of 6,Resale, Semi-Furnished, None, None, None, 2, None, ₹49 Lac, ₹4 094 per sqft
4 BHK  House for Sale in Vastral Ahmedabad, None, 120 sqyrd, Ready to Move, Ground out of 2,Resale, Semi-Furnished, None, None, None, 2, None, ₹65 Lac, ₹6 019 per sqft
1 BHK Apartment for Sale in Vastral Ahmedabad, None, 720 sqft, Ready to Move, 4 out of 5,Resale, Semi-Furnished, None, None, None, 1, None, ₹23 Lac, ₹3 194 per sqft
2 BHK Apartment for Sale in Ghatlodiya Ahmedabad, None, 100 sqyrd, Ready to Move, 1 out of 5,Resale, Furnished, None, None, None, 2, None, ₹42 Lac, ₹4 667 per sqft
3 BHK Apartment for Sale in South Bopal  Bopal Ahmedabad, None, 1500 sqft, Ready to Move, 2 out of 3,Resale, Unfurnished, None, Freehold, 1 Covered, 3, 1, ₹1 Cr, ₹6 667 per sqft
