property_title, society_name, carpet_area, status, floor_info,transaction_type, furnishing_type, facing, ownership_type, car_parking, bathroom_count, balcony_count, price_amount, price_per_sqft 
3 BHK Apartment for Sale in Borivali West Mumbai, None, 875 sqft, Ready to Move, 2 out of 6,Resale, Unfurnished, East, Freehold, None, 4, 1, ₹2.75 Cr, ₹25 000 per sqft
4 BHK Apartment for Sale in 81 Aureate  Bandra West Mumbai, 81 Aureate, 4212 sqft, Ready to Move, 24 out of 26,Resale, Semi-Furnished, North, Freehold, 3 Covered, 4, 6, ₹18.51 Cr, ₹32 536 per sqft
3 BHK Apartment for Sale in Kohinoor City Phase II  Kurla West Mumbai, Kohinoor City Phase II, 1086 sqft, Ready to Move, 2 out of 10,Resale, Semi-Furnished, East, None, 1 Covered, 3, 5, ₹2.85 Cr, ₹17 812 per sqft
3 BHK Apartment for Sale in MICL Aaradhya High Park  Mira Road Area Mumbai, MICL Aaradhya High Park, 961 sqft, Ready to Move, 2 out of 30,Resale, Semi-Furnished, North - East, Freehold, 2 Covered, 3, 2, ₹1.72 Cr, ₹12 741 per sqft
3 BHK Apartment for Sale in Sandu W20  Ghatkopar West Mumbai, Sandu W20, 1100 sqft, Ready to Move, 10 out of 16,Resale, Semi-Furnished, East, Freehold, None, 2, 6, ₹2.20 Cr, ₹14 667 per sqft
2 BHK Apartment for Sale in Dadar East Mumbai, None, 711 sqft, Ready to Move, 12 out of 20,New Property, Unfurnished, East, Freehold, None, 2, None, ₹3.25 Cr, ₹38 235 per sqft
3 BHK Apartment for Sale in Bhoomi Park II  Malad West Mumbai, Bhoomi Park II, 920 sqft, Ready to Move, 15 out of 17,Resale, Semi-Furnished, East, Freehold, 1 Covered, 3, None, ₹2.70 Cr, ₹22 500 per sqft
4 BHK Apartment for Sale in Kalpataru Horizon  Worli Mumbai, Kalpataru Horizon, 2200 sqft, Ready to Move, 20 out of 32,Resale, Semi-Furnished, South - East, None, 3 Covered, 4, None, ₹20 Cr, ₹57 143 per sqft
5 BHK Apartment for Sale in Andheri East Mumbai, None, 3064 sqft, Ready to Move, 9 out of 9,New Property, Unfurnished, East, Freehold, 3 Covered, 5, 1, ₹8.15 Cr, ₹23 286 per sqft
3 BHK Apartment for Sale in Evershine Cosmic  Andheri West Mumbai, Evershine Cosmic, 1000 sqft, Ready to Move, 9 out of 17,Resale, Furnished, South - East, Freehold, None, 3, 1, ₹2.50 Cr, ₹15 625 per sqft
2 BHK Apartment for Sale in Omkar Alta Monte  Malad East Mumbai, Omkar Alta Monte, 824 sqft, Ready to Move, 13 out of 45,Resale, Semi-Furnished, East, Freehold, 1 Covered, 2, 3, ₹2.35 Cr, ₹18 147 per sqft
2 BHK Apartment for Sale in Sai Charan Residency  Mira Road Area Mumbai, Sai Charan Residency, 850 sqft, Ready to Move, 1 out of 7,Resale, Semi-Furnished, East, Freehold, 1 Covered, 4, None, ₹1.10 Cr, ₹8 800 per sqft
2 BHK Apartment for Sale in Thakur Village  Kandivali East Mumbai, None, 631 sqft, Ready to Move, 12 out of 37,Resale, Unfurnished, North - East, Co-operative Society, 1 Covered, 2, None, ₹1.95 Cr, ₹18 932 per sqft
3 BHK Apartment for Sale in Videocon Tower  Kandivali East Mumbai, Videocon Tower, 1200 sqft, Ready to Move, 15 out of 25,Resale, Unfurnished, East, Freehold, None, 3, 1, ₹2.75 Cr, ₹18 333 per sqft
5 BHK Apartment for Sale in Lodha Park  Worli Mumbai, Lodha Park, 3636 sqft, Ready to Move, 60 out of 78,New Property, Semi-Furnished, None, None, None, 5, None, ₹10.85 Cr, ₹29 840 per sqft
1 BHK Apartment for Sale in Harihar Enclave CHS   Vasai East Mumbai, Harihar Enclave CHS, 365 sqft, Ready to Move, 4 out of 7,Resale, Unfurnished, East, Freehold, None, 2, 3, ₹30 Lac, ₹4 615 per sqft
3 BHK Apartment for Sale in Borivali West Mumbai, None, 1150 sqft, Ready to Move, 9 out of 19,Resale, Semi-Furnished, East, Co-operative Society, 1 Covered, 3, 1, ₹4.70 Cr, ₹32 639 per sqft
1 BHK Apartment for Sale in Hindu Friends Society  Natwar Nagar Mumbai, Hindu Friends Society, 440 sqft, Ready to Move, 6 out of 16,New Property, Unfurnished, East, Freehold, 1 Open, 2, None, ₹1.22 Cr, ₹21 217 per sqft
2 BHK Apartment for Sale in Malad East Mumbai, None, 585 sqft, Ready to Move, 5 out of 18,New Property, Unfurnished, East, Freehold, 1 Covered, 2, None, ₹1.36 Cr, ₹18 133 per sqft
2 BHK Apartment for Sale in Sugee Atharva  Kamgar Nagar Prabhadevi Mumbai, Sugee Atharva, 475 sqft, Ready to Move, 10 out of 23,Resale, Unfurnished, East, Freehold, 1 Covered, 2, None, ₹2.70 Cr, ₹45 000 per sqft
3 BHK Apartment for Sale in Ekta Tripolis  Goregaon West Mumbai, Ekta Tripolis, 1100 sqft, Ready to Move, 22 out of 35,New Property, Unfurnished, North - East, Freehold, 2 Covered, 3, 1, ₹4 Cr, ₹26 667 per sqft
3 BHK Apartment for Sale in Dev Krupa CHS  Dadar East Mumbai, Dev Krupa CHS, 1170 sqft, Ready to Move, 4 out of 6,Resale, Unfurnished, East, None, None, 3, 1, ₹3.95 Cr, ₹33 761 per sqft
3 BHK Apartment for Sale in Mayur Pankh CHS  Borivali East Mumbai, Mayur Pankh CHS, 820 sqft, Ready to Move, 10 out of 15,New Property, Unfurnished, West, Freehold, 2 Covered, 3, None, ₹2.20 Cr, ₹16 768 per sqft
4 BHK Apartment for Sale in Amarnath Tower  Versova Andheri West Mumbai, Amarnath Tower, 1400 sqft, Ready to Move, 5 out of 20,Resale, Semi-Furnished, East, Freehold, 3 Covered, 3, None, ₹5.50 Cr, ₹34 375 per sqft
3 BHK Apartment for Sale in Lake Primrose  Powai Mumbai, Lake Primrose, 953 sqft, Ready to Move, 3 out of 3,Resale, Unfurnished, South - East, Co-operative Society, 1 Covered, 3, 1, ₹3.48 Cr, ₹23 200 per sqft
2 BHK Apartment for Sale in Matunga East Mumbai, None, 803 sqft, Ready to Move, Upper Basement out of 49,New Property, Semi-Furnished, East, Co-operative Society, 1 Covered , 2, None, ₹3.20 Cr, ₹37 647 per sqft
2 BHK Apartment for Sale in Kandivali East Mumbai, None, 689 sqft, Ready to Move, 5 out of 34,New Property, Unfurnished, None, None, None, 2, None, ₹1.70 Cr, ₹22 667 per sqft
2 BHK Apartment for Sale in Aadi Allure  Kanjurmarg East Mumbai, Aadi Allure, 730 sqft, Ready to Move, 6 out of 21,Resale, Unfurnished, East, Freehold, 1 Covered, 2, 1, ₹1.75 Cr, ₹14 228 per sqft
2 BHK Apartment for Sale in Raheja Serenity  Kandivali East Mumbai, Raheja Serenity, 700 sqft, Ready to Move, 3 out of 22,Resale, Unfurnished, South, Co-operative Society, 1 Covered, 2, 2, ₹2.20 Cr, ₹23 158 per sqft
2 BHK Apartment for Sale in Unity Towers  Worli Mumbai, Unity Towers, 430 sqft, Ready to Move, 18 out of 22,Resale, Unfurnished, East, Freehold, 1 Covered, 2, 2, ₹2.30 Cr, ₹30 667 per sqft
3 BHK Apartment for Sale in Rustomjee Summit  Borivali East Mumbai, Rustomjee Summit, 1179 sqft, Ready to Move, 28 out of 40,Resale, Unfurnished, West, Freehold, 2 Covered, 3, None, ₹4.21 Cr, ₹27 161 per sqft
3 BHK Apartment for Sale in Dadar West Mumbai, None, 848 sqft, Ready to Move, 7 out of 21,Resale, Unfurnished, East, Co-operative Society, 1 Covered , 3, None, ₹5 Cr, ₹50 000 per sqft
3 BHK Apartment for Sale in Kanakia Paris  Bandra Kurla Complex Mumbai, Kanakia Paris, 974 sqft, Ready to Move, 14 out of 20,New Property, Semi-Furnished, East, Freehold, 1 Covered, 2, 1, ₹3.60 Cr, ₹30 000 per sqft
2 BHK Apartment for Sale in L&T Crescent Bay  Parel Mumbai, L&T Crescent Bay, 864 sqft, Ready to Move, 37 out of 49,New Property, Unfurnished, North, Leasehold, 1 Covered, 2, None, ₹3.87 Cr, ₹29 208 per sqft
3 BHK Apartment for Sale in Ekta Tripolis  Goregaon West Mumbai, Ekta Tripolis, 908 sqft, Ready to Move, 18 out of 36,Resale, Semi-Furnished, South, Leasehold, 1 Covered, 2, 1, ₹3.05 Cr, ₹25 417 per sqft
2 BHK Apartment for Sale in Tilak Nagar sahakarya chs bldg no 84  Tilak Nagar Chembur Mumbai, Tilak Nagar sahakarya chs bldg no 84, 710 sqft, Ready to Move, 14 out of 14,Resale, Unfurnished, North, Freehold, 1 Open, 2, 2, ₹1.60 Cr, ₹13 913 per sqft
3 BHK Apartment for Sale in Lodha Fiorenza  Goregaon East Mumbai, Lodha Fiorenza, 1081 sqft, Ready to Move, 16 out of 42,Resale, Semi-Furnished, East, Freehold, 2 Covered, 4, 2, ₹4 Cr, ₹24 242 per sqft
3 BHK Apartment for Sale in Arvindo Kandivali West  Kandivali West Mumbai, Arvindo Kandivali West, 1115 sqft, Ready to Move, 6 out of 7,Resale, Furnished, East, Co-operative Society, None, 3, None, ₹2.40 Cr, ₹15 385 per sqft
2 BHK Apartment for Sale in Goregaon West Mumbai, None, 645 sqft, Ready to Move, 11 out of 21,Resale, Unfurnished, East, Freehold, None, 2, 1, ₹1.70 Cr, ₹16 585 per sqft
2 BHK Apartment for Sale in Juhu Mumbai, None, 649 sqft, Ready to Move, 3 out of 7,Resale, Unfurnished, North, Co-operative Society, None, 2, 1, ₹3.35 Cr, ₹30 262 per sqft
1 BHK Apartment for Sale in Nakshatra Greens  Naigaon Palghar Mumbai, Nakshatra Greens, 500 sqft, Ready to Move, 6 out of 14,Resale, Unfurnished, North - East, Freehold, None, 2, 3, ₹31.5 Lac, ₹6 300 per sqft
2 BHK Apartment for Sale in Tilak Nagar Building  Chembur Mumbai, Tilak Nagar Building, 920 sqft, Ready to Move, 14 out of 16,Resale, Unfurnished, East, Freehold, None, 2, 2, ₹2.60 Cr, ₹20 800 per sqft
