property_title, society_name, carpet_area, status, floor_info,transaction_type, furnishing_type, facing, ownership_type, car_parking, bathroom_count, balcony_count, price_amount, price_per_sqft 
3 BHK Builder Floor for Sale in Uttam Nagar New Delhi, None, 780 sqft, Ready to Move, 1 out of 4,New Property, Semi-Furnished, East, Freehold, 1 Covered , 2, 1, ₹36 Lac, ₹4 500 per sqft
4 BHK Builder Floor for Sale in Mayfair Gardens New Delhi, None, 6500 sqft, Ready to Move, 3 out of 4,New Property, Unfurnished, North - East, Freehold, 3 Covered , 5, 4, ₹19 Cr, ₹27 143 per sqft
4 BHK Builder Floor for Sale in Greater Kailash 1 New Delhi, None, 2200 sqft, Ready to Move, 1 out of 4,New Property, Semi-Furnished, North - East, Freehold, 2 Covered , 4, 4, ₹7.25 Cr, ₹26 852 per sqft
3 BHK Apartment for Sale in Gulmohar Apartments  Sector 11 Dwarka New Delhi, Gulmohar Apartments, 1700 sqft, Ready to Move, 3 out of 10,Resale, Semi-Furnished, North - East, Freehold, 1 Covered , 3, 4, ₹2.49 Cr, ₹13 105 per sqft
4 BHK Apartment for Sale in Guru Apartment  Pocket 2 Sector 6 Dwarka New Delhi, Guru Apartment, 1750 sqft, Ready to Move, 7 out of 9,Resale, Unfurnished, West, Freehold, 1 Covered, 4, 2, ₹2.95 Cr, ₹15 946 per sqft
4 BHK Builder Floor for Sale in Prime Luxury Builder Floor  Greater Kailash 1 New Delhi, Prime Luxury Builder Floor, 1400 sqft, Ready to Move, 3 out of 4,New Property, Unfurnished, North - East, Freehold, 2 Covered, 4, 2, ₹4.50 Cr, ₹24 038 per sqft
3 BHK Apartment for Sale in Umang Winter Hills  Dwarka Mor New Delhi, Umang Winter Hills, 975 sqft, Ready to Move, 6 out of 12,New Property, Semi-Furnished, East, Freehold, 1 Covered, 2, 2, ₹1.40 Cr, ₹8 547 per sqft
3 BHK Builder Floor for Sale in The Mist  Gwal Pahari New Delhi, The Mist, 1250 sqft, Ready to Move, 4 out of 5,New Property, Semi-Furnished, East, Freehold, 25 Covered, 3, 1, ₹65 Lac, ₹4 815 per sqft
4 BHK Apartment for Sale in Ashoka Apartments CGHS  Sector 12 Dwarka New Delhi, Ashoka Apartments CGHS, 2875 sqft, Ready to Move, 2 out of 10,Resale, Semi-Furnished, North - East, Freehold, 1 Covered , 3, 3, ₹2.65 Cr, ₹9 217 per sqft
5 BHK  House for Sale in Bandh Road New Delhi, None, 1200 sqyrd, Ready to Move, Ground out of 2,New Property, Semi-Furnished, North, Freehold, 5 Covered , 5, 5, ₹16 Cr, ₹14 815 per sqft
2 BHK Apartment for Sale in Vikas Puri Extension Part 1 New Delhi, None, 700 sqft, Ready to Move, 1 out of 4,Resale, Unfurnished, East, Freehold, 1 Covered, 2, 1, ₹85 Lac, None
5 BHK  House for Sale in RWA Jasola  Jasola New Delhi, RWA Jasola, 300 sqyrd, Ready to Move, Ground out of 3,New Property, Furnished, East, Freehold, 3 Covered , 5, 3, ₹11 Cr, ₹18 333 per sqft
3 BHK Apartment for Sale in TARC Tripundra  Bijwasan New Delhi, TARC Tripundra, 2206 sqft, Poss. by Dec '25, 3 out of 10,New Property, Unfurnished, East, Freehold, 1 Covered, 3, 3, ₹5.20 Cr, ₹23 572 per sqft
4 BHK Builder Floor for Sale in M2k Suites  Kailash Colony  Greater Kailash New Delhi, M2k Suites, 2400 sqft, Ready to Move, 3 out of 3,New Property, Semi-Furnished, North - East, Freehold, 2 Covered, 4, 6, ₹7 Cr, ₹23 333 per sqft
3 BHK Builder Floor for Sale in Sector 8 Dwarka New Delhi, None, 1800 sqft, Ready to Move, 1 out of 4,New Property, Semi-Furnished, North - East, Freehold, 1 Covered, 4, 1, ₹2.35 Cr, ₹12 368 per sqft
2 BHK Apartment for Sale in Vasant Kunj New Delhi, None, 1000 sqft, None, None,Resale, Unfurnished, East, Freehold, None, 2, 1, ₹1.52 Cr, ₹13 818 per sqft
4 BHK Builder Floor for Sale in East Of Kailash New Delhi, None, 2500 sqft, Ready to Move, 2 out of 4,New Property, Semi-Furnished, North - East, Freehold, 3 Covered , 5, 3, ₹6 Cr, ₹18 750 per sqft
3 BHK Apartment for Sale in Ganinath Apartment  Sector 5 Dwarka New Delhi, Ganinath Apartment, 1650 sqft, Ready to Move, 5 out of 7,Resale, Semi-Furnished, North - East, Freehold, 1 Covered , 2, 2, ₹2.65 Cr, ₹13 250 per sqft
3 BHK Apartment for Sale in Santosh Apartment  Sector 6 Dwarka New Delhi, Santosh Apartment, 1850 sqft, Ready to Move, 6 out of 10,Resale, Semi-Furnished, North - East, Freehold, 1 Covered , 2, 2, ₹2.22 Cr, ₹12 000 per sqft
