property_title, society_name, carpet_area, status, floor_info,transaction_type, furnishing_type, facing, ownership_type, car_parking, bathroom_count, balcony_count, price_amount, price_per_sqft 
1 BHK Apartment for Sale in S62 C Block Shalimar Garden Ext2 Sahibabad Ghaziabad UP Ghaziabad, None, 400 sqft, Ready to Move, 2 out of 4,Resale, Furnished, None, None, None, 1, 1, ₹20 Lac, ₹4 444 per sqft
1 BHK Apartment for Sale in Brahmaputra Enclave  Siddharth Vihar Ghaziabad, Brahmaputra Enclave, 450 sqft, Ready to Move, 2 out of 3,Resale, Unfurnished, None, Freehold, None, 1, 2, ₹21.9 Lac, ₹4 867 per sqft
1 BHK Builder Floor for Sale in Pratap Vihar Ghaziabad, None, 540 sqft, Ready to Move, 2 out of 3,Resale, Semi-Furnished, None, None, None, 1, None, ₹20.5 Lac, ₹3 796 per sqft
2 BHK Apartment for Sale in Sector 3 Vasundhara Ghaziabad, None, 700 sqft, Ready to Move, 2 out of 3,Resale, Semi-Furnished, None, None, None, 2, None, ₹34 Lac, ₹4 857 per sqft
2 BHK Apartment for Sale in Ajnara Integrity  Raj Nagar Extension Ghaziabad, Ajnara Integrity, 840 sqft, Ready to Move, 4 out of 13,Resale, Furnished, None, None, None, 2, 2, ₹54 Lac, ₹4 576 per sqft
2 BHK Apartment for Sale in Investor House Builder Floor  Indirapuram Ghaziabad, Investor House Builder Floor, 970 sqft, Ready to Move, 1 out of 3,Resale, Semi-Furnished, North, Freehold, 1 Open, 2, 2, ₹50 Lac, ₹5 155 per sqft
3 BHK Apartment for Sale in The Palm Sunrise Ghaziabad, None, 861 sqft, Ready to Move, 1 out of 4,Resale, Unfurnished, North - East, Freehold, None, 2, 2, ₹60 Lac, None
6 BHK Builder Floor for Sale in Shastri Nagar Ghaziabad, None, 2680 sqft, Ready to Move, 1 out of 3,New Property, Unfurnished, West, Freehold, None, 4, 3, ₹1.90 Cr, ₹5 923 per sqft
2 BHK Apartment for Sale in SVP Gulmohar Garden Phase 2  Raj Nagar Extension Ghaziabad, SVP Gulmohar Garden Phase 2, 1140 sqft, Ready to Move, 1 out of 15,Resale, Semi-Furnished, North - East, Freehold, None, 2, 3, ₹53 Lac, ₹4 649 per sqft
2 BHK Apartment for Sale in Supertech Livingstone  National Highway 24 Ghaziabad, Supertech Livingstone, 1000 sqft, Ready to Move, 8 out of 19,Resale, Semi-Furnished, West, Freehold, 1 Covered, 2, 2, ₹42 Lac, ₹4 200 per sqft
3 BHK Apartment for Sale in Eutopia  Siddharth Vihar Ghaziabad, Eutopia, 1120 sqft, Ready to Move, 21 out of 26,Resale, Semi-Furnished, East, Freehold, None, 3, 3, ₹1.50 Cr, ₹7 916 per sqft
3 BHK Builder Floor for Sale in Shakti Khand 2  Indirapuram Ghaziabad, None, 1200 sqft, Ready to Move, 2 out of 2,Resale, Semi-Furnished, East, Freehold, 1 Covered , 2, 2, ₹80 Lac, ₹6 667 per sqft
3 BHK Apartment for Sale in Surya Nagar Ghaziabad, None, 1650 sqft, Ready to Move, 1 out of 3,Resale, Semi-Furnished, South - East, Freehold, 3 Open, 3, 1, ₹1.90 Cr, ₹10 556 per sqft
3 BHK  House for Sale in Raj Nagar Ghaziabad, None, 400 sqyrd, Ready to Move, Ground out of 1,New Property, Semi-Furnished, North, Leasehold, None, 3, 3, ₹4.25 Cr, ₹11 059 per sqft
3 BHK Apartment for Sale in Prateek Grand City  Siddharth Vihar Ghaziabad, Prateek Grand City, 1795 sqft, Ready to Move, 12 out of 26,Resale, Furnished, None, None, None, 4, None, ₹1.60 Cr, ₹8 914 per sqft
1 BHK Builder Floor for Sale in Shyam Park Extension  Rajendra Nagar Ghaziabad, None, 30 sqm, Ready to Move, Ground out of 3,Resale, Unfurnished, East, Freehold, None, 1, 1, ₹20 Lac, ₹5 465 per sqft
2 BHK Apartment for Sale in DLF Colony  DLF Dilshad Extention 2 Ghaziabad, DLF Colony, 800 sqft, Ready to Move, 2 out of 4,Resale, Furnished, None, None, None, 2, 2, ₹28 Lac, ₹2 333 per sqft
4 BHK Apartment for Sale in GDA Madhuban Bapu Dham Society  Madhuban Bapudham Ghaziabad, GDA Madhuban Bapu Dham Society, 1872 sqft, Ready to Move, 8 out of 14,Resale, Unfurnished, East, Freehold, 2 Covered, 3, 4, ₹85 Lac, ₹5 312 per sqft
3 BHK Builder Floor for Sale in Sector 5 Rajendra Nagar Ghaziabad, None, 1080 sqft, Ready to Move, 3 out of 3,Resale, Furnished, North - East, Freehold, 1 Covered, 3, 1, ₹52 Lac, ₹4 160 per sqft
2 BHK Apartment for Sale in Gaur Ganga 2  Vaishali Ghaziabad, Gaur Ganga 2, 985 sqft, Ready to Move, 3 out of 14,Resale, Semi-Furnished, North - East, Freehold, 65 Covered, 2, None, ₹66 Lac, ₹6 701 per sqft
2 BHK Apartment for Sale in Supertech Livingston  Crossings Republik Ghaziabad, Supertech Livingston, 1000 sqft, Ready to Move, 19 out of 19,Resale, Unfurnished, None, None, None, 2, 1, ₹50 Lac, ₹4 762 per sqft
3 BHK Apartment for Sale in National Highway 24 Ghaziabad, None, 1225 sqft, Ready to Move, 9 out of 20,Resale, Semi-Furnished, East, None, 1 Covered, 3, None, ₹65 Lac, ₹5 306 per sqft
4 BHK  House for Sale in Duhai Ghaziabad, None, 1600 sqft, Ready to Move, 1 out of 3,Resale, Unfurnished, East, Freehold, None, 5, 2, ₹79 Lac, ₹4 389 per sqft
